name,ring,quadrant,isNew,description,champion,notes
GitHub,Hold,Tools,TRUE,Create all new repos in Azure DevOps.  GitHub is widely used and we have no plans to abandon it.  We are almost at the repo cap and will not be paying for more capacity.,,
CQS,Adopt,Patterns & Techniques,FALSE,"The <a href=""https://martinfowler.com/bliki/CommandQuerySeparation.html"">Command Query Separation</a> pattern is fundamentally about keeping queries side-effect free, ie: asking a question shouldn't change the answer. This principle aims to keep interfaces simple and the consequences of calling a method obvious.",Andrew K,
IQ.Vanilla CQS AOP,Hold,"Languages, Frameworks & Platforms",FALSE,"Libraries such as <a href=""https://github.com/iQmetrix/IQ.Vanilla.CQS.AOP"">IQ.Vanilla.CQS.AOP</a> and <a href=""https://github.com/RyanMarcotte/Functional.CQS"">Functional.CQS</a> have been found to provide limited benefit and increased complexity. Unless you clearly need the benefits of Aspect Oriented Programming, consider instead creating simple and clear interfaces following the CQS principle.",Andrew K,
Azure App Insights,Assess,Tools,FALSE,O11y for Azure,,Pending decision on common O11y tools
Azure DevOps Pipelines,Adopt,Tools,FALSE,"Pipelines and Releases are Microsoft's ""classic"" way of doing builds and deploys. Microsoft includes trigger support for repos in Azure DevOps and Github. <a href=""https://github.com/iQmetrix/product-excellence/blob/master/devops/buildanddeploy.md"">Build and Deploy Guides</a>",,
Azure DevOps YAML Pipelines,Trial,Tools,FALSE,"YAML pipelines are Microsoft's next generation way of doing builds and deploys. YAML pipelines still lack some important features, but in the long term they look very promising. <a href=""https://github.com/iQmetrix/product-excellence/blob/master/devops/buildanddeploy.md"">Build and Deploy Guides</a>",,
Appium + WinApp driver,Assess,Tools,FALSE,Windows UI Test automation,,
Cypress,Assess,Tools,FALSE,Browser UI Test automation,,
Detox,Assess,Tools,FALSE,Mobile UI Test automation,,
Google Analytics,Assess,Tools,FALSE,Web/Mobile Application analytics,,
Power BI for Internal Analytics,Adopt,Tools,TRUE,Using PowerBI for internal to IQ Data Analysis needs is encouraged.  Using it for external customer facing needs faces licensing and other issues and is still being Assessed.,Kelvin Schmalle,
Functional Patterns in C#,Adopt,Tools,FALSE,"The Option, Result, and Discriminated Union patterns provided by the <a href=""https://github.com/JohannesMoersch/Functional"">Functional</a> library for C# help to avoid improperly handled null references or using exceptions to model failure",Andrew K,
Sentry,Adopt,Tools,TRUE,Error and performance monitoring tool used for web applications,,
Web in RQ,Trial,Patterns & Techniques,TRUE,A collection to libraries and techniques used to embed web applications into RQ,Garrett Smith,
Design System,Adopt,Patterns & Techniques,TRUE,A collection of patterns and components used to design application interfaces,Garrett Smith,
Taurus,Trial,Tools,TRUE,Load testing tool,Kelvin Schmalle,
Locust,Trial,Tools,TRUE,Load testing tool,Kelvin Schmalle,
Overops,Adopt,Tools,TRUE,Error logging and tracking for RQ services,Kelvin Schmalle,
Blue/Green deployments,Adopt,Patterns & Techniques,TRUE,,,
HVR,Adopt,Tools,TRUE,Change data capture logging extraction tool,Kelvin Schmalle,
Delta Lake,Adopt,Patterns & Techniques,TRUE,Data Lake which allows upserts,Kelvin Schmalle,
Databricks,Adopt,Tools,TRUE,Processing engind ontop of Data/Delta Lake,Kelvin Schmalle,
Synapse DW,Trial,Tools,TRUE,Massively Parallel Datawarehouse,Kelvin Schmalle,
Looker,Assess,Tools,TRUE,Analytics for DnA,Kelvin Schmalle,
Sisense,Assess,Tools,TRUE,Analytics for DnA,Kelvin Schmalle,
Tableau,Assess,Tools,TRUE,Analytics for DnA,Kelvin Schmalle,
Embedded PowerBI,Assess,Tools,TRUE,Analytics for DnA,Kelvin Schmalle,
MS Power Apps for Internal Consumption,Adopt,Tools,TRUE,No code approach to automate simple busines solutions in Azure.,,
MS Power Apps for External Use,Hold,Tools,TRUE,"There are many maintenance, versioning, compatibility issues to be overcome before Power Apps are ready for reliable delivery to customers.",,
Functional Patterns,Adopt,Patterns & Techniques,TRUE,"Immutable types, pure functions, side-effect free functions, monadic composition, discriminated unions, result and option types, pattern matching, etc. to make code cleaner and easier to reason about",Andrew K,
Feature Flags (Release Toggles),Adopt,Patterns & Techniques,TRUE,"Short lived toggles around in-development changes allowing latent code to be merged and shipped in order to improve continuous integration practices and enable trunk-based development, see <a href=""https://martinfowler.com/articles/feature-toggles.html"">this article</a> for more info.",Andrew K,
Blazor,Hold,Tools,TRUE,"Microsoft's solution for writing front-end web code using only C#; on Hold until it matures further, as it's still rather new",,
